market_name,market_title,engine,tradedate,secid,value,volume,numtrades,
repo,Рынок сделок РЕПО,stock,2019-11-11,MOEX,1031653746.98,11926334,220,
shares,Рынок акций,stock,2019-11-12,MOEX,980269473.61,9812175,16419,
repo,Рынок сделок РЕПО,stock,2019-11-12,MOEX,1110336336.28,12473299,192,
repo,Рынок сделок РЕПО,stock,2019-11-13,MOEX,1166477158.38,13142725,203,
repo,Рынок сделок РЕПО,stock,2019-11-14,MOEX,1624014772.73,18359748,200,
repo,Рынок сделок РЕПО,stock,2019-11-15,MOEX,958471854.28,10800587,200,
repo,Рынок сделок РЕПО,stock,2019-11-18,MOEX,940979833.10,10744911,180,
repo,Рынок сделок РЕПО,stock,2019-11-19,MOEX,967901144.47,11081138,190,
shares,Рынок акций,stock,2019-11-20,MOEX,1753057423.81,17046182,46246,
repo,Рынок сделок РЕПО,stock,2019-11-20,MOEX,754164436.70,8583442,189,
